2026-05-16 13:49:08,462 INFO    MainThread:10463 [wandb_setup.py:_flush():81] Current SDK version is 0.26.1
2026-05-16 13:49:08,463 INFO    MainThread:10463 [wandb_setup.py:_flush():81] Configure stats pid to 10463
2026-05-16 13:49:08,463 INFO    MainThread:10463 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-16 13:49:08,463 INFO    MainThread:10463 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /home/asher747/da6401_assignment_3/wandb/run-20260516_134908-6ue3p4cb/logs/debug.log
2026-05-16 13:49:08,463 INFO    MainThread:10463 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /home/asher747/da6401_assignment_3/wandb/run-20260516_134908-6ue3p4cb/logs/debug-internal.log
2026-05-16 13:49:08,463 INFO    MainThread:10463 [wandb_init.py:init():850] calling init triggers
2026-05-16 13:49:08,463 INFO    MainThread:10463 [wandb_init.py:init():855] wandb.init called with sweep_config: {}
config: {'d_model': 256, 'N': 4, 'num_heads': 16, 'd_ff': 512, 'dropout': 0.1, 'batch_size': 128, 'num_epochs': 15, 'warmup_steps': 5000, 'smoothing': 0.1, '_wandb': {}}
2026-05-16 13:49:08,463 INFO    MainThread:10463 [wandb_init.py:init():898] starting backend
2026-05-16 13:49:08,685 INFO    MainThread:10463 [wandb_init.py:init():913] sending inform_init request
2026-05-16 13:49:09,336 INFO    MainThread:10463 [wandb_init.py:init():918] backend started and connected
2026-05-16 13:49:09,337 INFO    MainThread:10463 [wandb_init.py:init():988] updated telemetry
2026-05-16 13:49:09,342 INFO    MainThread:10463 [wandb_init.py:init():1011] communicating run to backend with 90.0 second timeout
2026-05-16 13:49:09,824 INFO    MainThread:10463 [wandb_init.py:init():1056] starting run threads in backend
2026-05-16 13:49:09,885 INFO    MainThread:10463 [wandb_run.py:_console_start():2554] atexit reg
2026-05-16 13:49:09,885 INFO    MainThread:10463 [wandb_run.py:_redirect():2403] redirect: wrap_raw
2026-05-16 13:49:09,885 INFO    MainThread:10463 [wandb_run.py:_redirect():2472] Wrapping output streams.
2026-05-16 13:49:09,885 INFO    MainThread:10463 [wandb_run.py:_redirect():2495] Redirects installed.
2026-05-16 13:49:09,889 INFO    MainThread:10463 [wandb_init.py:init():1094] run started, returning control to user process
2026-05-16 13:50:42,240 INFO    wandb-AsyncioManager-main:10463 [service_client.py:_forward_responses():134] Reached EOF.
2026-05-16 13:50:42,240 INFO    wandb-AsyncioManager-main:10463 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
