2026-05-16 13:56:32,329 INFO    MainThread:12232 [wandb_setup.py:_flush():81] Current SDK version is 0.26.1
2026-05-16 13:56:32,330 INFO    MainThread:12232 [wandb_setup.py:_flush():81] Configure stats pid to 12232
2026-05-16 13:56:32,330 INFO    MainThread:12232 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-16 13:56:32,330 INFO    MainThread:12232 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /home/asher747/da6401_assignment_3/wandb/run-20260516_135632-onek5ubw/logs/debug.log
2026-05-16 13:56:32,330 INFO    MainThread:12232 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /home/asher747/da6401_assignment_3/wandb/run-20260516_135632-onek5ubw/logs/debug-internal.log
2026-05-16 13:56:32,330 INFO    MainThread:12232 [wandb_init.py:init():850] calling init triggers
2026-05-16 13:56:32,330 INFO    MainThread:12232 [wandb_init.py:init():855] wandb.init called with sweep_config: {}
config: {'d_model': 512, 'N': 4, 'num_heads': 8, 'd_ff': 2048, 'dropout': 0.1, 'batch_size': 64, 'num_epochs': 20, 'warmup_steps': 4000, 'smoothing': 0.1, '_wandb': {}}
2026-05-16 13:56:32,330 INFO    MainThread:12232 [wandb_init.py:init():898] starting backend
2026-05-16 13:56:32,547 INFO    MainThread:12232 [wandb_init.py:init():913] sending inform_init request
2026-05-16 13:56:33,179 INFO    MainThread:12232 [wandb_init.py:init():918] backend started and connected
2026-05-16 13:56:33,181 INFO    MainThread:12232 [wandb_init.py:init():988] updated telemetry
2026-05-16 13:56:33,185 INFO    MainThread:12232 [wandb_init.py:init():1011] communicating run to backend with 90.0 second timeout
2026-05-16 13:56:33,666 INFO    MainThread:12232 [wandb_init.py:init():1056] starting run threads in backend
2026-05-16 13:56:33,726 INFO    MainThread:12232 [wandb_run.py:_console_start():2554] atexit reg
2026-05-16 13:56:33,726 INFO    MainThread:12232 [wandb_run.py:_redirect():2403] redirect: wrap_raw
2026-05-16 13:56:33,726 INFO    MainThread:12232 [wandb_run.py:_redirect():2472] Wrapping output streams.
2026-05-16 13:56:33,726 INFO    MainThread:12232 [wandb_run.py:_redirect():2495] Redirects installed.
2026-05-16 13:56:33,730 INFO    MainThread:12232 [wandb_init.py:init():1094] run started, returning control to user process
